state,county,d_date,total
kentucky,green,2020-05-02 00:00:00 +0000 UTC,1
texas,knox,2020-05-02 00:00:00 +0000 UTC,1
texas,mitchell,2020-05-02 00:00:00 +0000 UTC,1
missouri,polk,2020-05-02 00:00:00 +0000 UTC,1
minnesota,roseau,2020-05-02 00:00:00 +0000 UTC,1
kansas,scott,2020-05-02 00:00:00 +0000 UTC,1
west virginia,wyoming,2020-05-02 00:00:00 +0000 UTC,1
texas,delta,2020-05-02 00:00:00 +0000 UTC,1
texas,dickens,2020-05-02 00:00:00 +0000 UTC,1
arkansas,madison,2020-05-02 00:00:00 +0000 UTC,1
south dakota,oglala lakota,2020-05-02 00:00:00 +0000 UTC,1
illinois,stark,2020-05-02 00:00:00 +0000 UTC,1
iowa,worth,2020-05-02 00:00:00 +0000 UTC,1
south dakota,corson,2020-05-02 00:00:00 +0000 UTC,1
colorado,gilpin,2020-05-02 00:00:00 +0000 UTC,1
wyoming,niobrara,2020-05-02 00:00:00 +0000 UTC,1
colorado,prowers,2020-05-02 00:00:00 +0000 UTC,1
texas,sabine,2020-05-02 00:00:00 +0000 UTC,1
illinois,schuyler,2020-05-02 00:00:00 +0000 UTC,1
montana,stillwater,2020-05-02 00:00:00 +0000 UTC,1
texas,concho,2020-05-02 00:00:00 +0000 UTC,1
new mexico,hidalgo,2020-04-10 00:00:00 +0000 UTC,1
arkansas,marion,2020-05-02 00:00:00 +0000 UTC,1
south dakota,miner,2020-05-02 00:00:00 +0000 UTC,1
oklahoma,okfuskee,2020-05-02 00:00:00 +0000 UTC,1
north dakota,sargent,2020-05-02 00:00:00 +0000 UTC,1
texas,stephens,2020-05-02 00:00:00 +0000 UTC,1
iowa,union,2020-05-02 00:00:00 +0000 UTC,1
north dakota,unknown,2020-04-17 00:00:00 +0000 UTC,1
kansas,anderson,2020-04-27 00:00:00 +0000 UTC,1
nebraska,box butte,2020-05-02 00:00:00 +0000 UTC,1
texas,dimmit,2020-05-02 00:00:00 +0000 UTC,1
kentucky,gallatin,2020-05-02 00:00:00 +0000 UTC,1
kansas,phillips,2020-05-02 00:00:00 +0000 UTC,1
nebraska,pierce,2020-05-02 00:00:00 +0000 UTC,1
wisconsin,price,2020-05-02 00:00:00 +0000 UTC,1
north dakota,rolette,2020-05-02 00:00:00 +0000 UTC,1
west virginia,summers,2020-05-02 00:00:00 +0000 UTC,1
nebraska,wayne,2020-05-02 00:00:00 +0000 UTC,1
idaho,boundary,2020-04-12 00:00:00 +0000 UTC,1
south dakota,brule,2020-04-17 00:00:00 +0000 UTC,1
west virginia,grant,2020-05-02 00:00:00 +0000 UTC,1
kentucky,morgan,2020-05-02 00:00:00 +0000 UTC,1
minnesota,red lake,2020-05-02 00:00:00 +0000 UTC,1
south dakota,sully,2020-05-02 00:00:00 +0000 UTC,1
oklahoma,alfalfa,2020-05-02 00:00:00 +0000 UTC,1
iowa,cass,2020-05-02 00:00:00 +0000 UTC,1
south dakota,hyde,2020-05-02 00:00:00 +0000 UTC,1
arkansas,jackson,2020-05-02 00:00:00 +0000 UTC,1
texas,motley,2020-05-02 00:00:00 +0000 UTC,1
kentucky,casey,2020-05-02 00:00:00 +0000 UTC,1
wisconsin,washburn,2020-05-02 00:00:00 +0000 UTC,1
texas,wilbarger,2020-05-02 00:00:00 +0000 UTC,1
missouri,holt,2020-05-02 00:00:00 +0000 UTC,1
nebraska,morrill,2020-05-02 00:00:00 +0000 UTC,1
alaska,nome census area,2020-05-02 00:00:00 +0000 UTC,1
michigan,baraga,2020-05-02 00:00:00 +0000 UTC,1
alaska,kodiak island borough,2020-05-02 00:00:00 +0000 UTC,1
texas,la salle,2020-05-02 00:00:00 +0000 UTC,1
texas,red river,2020-05-02 00:00:00 +0000 UTC,1
minnesota,aitkin,2020-05-02 00:00:00 +0000 UTC,1
kansas,chase,2020-05-02 00:00:00 +0000 UTC,1
kansas,wilson,2020-05-02 00:00:00 +0000 UTC,1
texas,zavala,2020-05-02 00:00:00 +0000 UTC,1
oklahoma,harper,2020-05-02 00:00:00 +0000 UTC,1
minnesota,kittson,2020-05-02 00:00:00 +0000 UTC,1
missouri,audrain,2020-05-02 00:00:00 +0000 UTC,1
texas,childress,2020-05-02 00:00:00 +0000 UTC,1
kentucky,clay,2020-05-02 00:00:00 +0000 UTC,1
north dakota,nelson,2020-05-02 00:00:00 +0000 UTC,1
maine,piscataquis,2020-05-02 00:00:00 +0000 UTC,1
